M T L International;1Z091YW70396824464;2016/2/11;CO;80424;17;27;5;;3.25
M T L International;1Z091YW70399037309;2016/2/11;TX;76117;24;38;6;;
M T L International;1Z091YW70398864524;2016/2/11;IA;52402;24;40;7;;
M T L International;1Z091YW70397319991;2016/2/11;WA;98203;9;9;5;;3.25
M T L International;1Z091YW70396474459;2016/2/11;PA;15025;24;40;8;;
M T L International;1Z091YW70398896660;2016/2/11;PA;15601;24;40;8;;3.25
M T L International;1Z091YW70397992727;2016/2/11;AZ;85301;24;38;4;;3.25
M T L International;1Z091YW70397853378;2016/2/11;NM;87105;48;80;5;;
M T L International;1Z091YW70399509184;2016/2/11;NC;27263;5;10;8;;3.25
M T L International;1Z091YW70399429207;2016/2/11;TN;38018;5;11;7;;3.25
M T L International;1Z091YW70396990230;2016/2/11;MI;49753;17;27;8;;3.25
M T L International;1Z091YW70396454846;2016/2/11;GA;30120;24;40;8;;3.25
M T L International;1Z091YW70395341282;2016/2/11;MI;48708;17;27;8;;3.25
M T L International;1Z091YW70397257478;2016/2/11;OH;45849;17;27;8;;3.25
M T L International;1Z091YW70398939891;2016/2/11;TN;37186;17;27;7;;3.25
M T L International;1Z091YW70399337511;2016/2/11;GA;30680;24;40;8;;3.25
M T L International;1Z091YW70399894946;2016/2/11;PA;19057;24;38;8;;3.25
M T L International;1Z091YW70396446355;2016/2/11;FL;33625;24;38;8;;3.25
M T L International;1Z091YW70398520565;2016/2/11;FL;33563;24;38;8;;3.25
M T L International;1Z091YW70395741573;2016/2/11;MS;39208;9;9;7;;3.25
M T L International;1Z091YW70396653381;2016/2/11;TX;77968;11;11;6;;3.25
M T L International;1Z091YW70395888620;2016/2/11;GA;30294;5;10;8;;3.25
M T L International;1Z091YW70395614433;2016/2/11;MI;48911;5;10;8;;3.25
M T L International;1Z091YW70399215045;2016/2/11;NY;11421;5;12;8;;
M T L International;1Z091YW70397305675;2016/2/11;TX;78045;24;38;6;;3.25
M T L International;1Z091YW70397445489;2016/2/11;FL;33565;24;38;8;;3.25
M T L International;1Z091YW70395146538;2016/2/11;IL;62947;16;27;7;;3.25
M T L International;1Z091YW70393191019;2016/2/11;ID;83647;24;38;5;;3.25
M T L International;1Z091YW70393421627;2016/2/11;TX;77502;24;40;6;;3.25
M T L International;1Z091YW70393078722;2016/2/11;NM;88061;24;38;5;;
