shipper;tracking;ship date;state;zip;customer weight;weight;zone;Ground Commercial;Ground Residential;Ground Residential Third Party;Ground Commercial Third Party;residential surcharge;delivery area surcharge;Delivery Area Surcharge - Extended;fuel surcharge;total;freight rate;2nd Day Air Residential;Delivery Confirmation Signature;Declared Value;Delivery Confirmation Response;Returns Print and Mail Label;Residential Adjustment;Remote Area Surcharge;exception
M T L International;1Z091YW70390613827;2016/1/21;CO;80538;17;30;5;;;15.23;;3.25;;;0.97;19.45;;;;;;;;;
M T L International;1Z091YW70392139211;2016/1/21;IN;46580;17;30;7;;;;22.04;;;;1.16;23.2;;;;;;;;;
M T L International;1Z091YW70390973699;2016/1/22;CA;93551;5;10;2;;;7.89;;3.25;;;0.58;11.72;;;;;;;;;
M T L International;1Z091YW70394703731;2016/1/22;CA;90504;17;30;2;;;10.05;;3.25;;;0.7;14;;;;;;;;;
M T L International;1Z091YW70390494313;2016/1/22;CA;94539;5;10;4;;;9.11;;3.25;;;0.65;13.01;;;;;;;;;
M T L International;1Z091YW70393110927;2016/1/22;AZ;85262;17;30;4;;;12.86;;3.25;;;0.85;16.96;;;;;;;;;
M T L International;1Z091YW70392909871;2016/1/22;WI;53916;5;12;7;;;11.71;;3.25;3.15;;0.95;19.06;;;;;;;;;
M T L International;1Z091YW70392850782;2016/1/22;TX;76013;16;27;6;;;17.35;;3.25;;;1.08;21.68;;;;;;;;;
M T L International;1Z091YW70392550856;2016/1/22;IL;62221;12;12;7;;;;11.71;;;;0.61;12.32;;;;;;;;;
M T L International;1Z091YW70393914265;2016/1/22;GA;30349;5;10;8;;;12.69;;3.25;;;0.84;16.78;;;;;;;;;
M T L International;1Z091YW70390061683;2016/1/22;FL;33196;5;10;8;;;12.69;;3.25;;;0.84;16.78;;;;;;;;;
M T L International;1Z091YW70394929908;2016/1/22;AL;36330;6;15;8;;;14.92;;3.25;;;0.95;19.12;;;;;;;;;
M T L International;1Z091YW70390276746;2016/1/22;NC;28734;17;30;8;;;26.23;;3.25;3.15;;1.71;34.34;;;;;;;;;
M T L International;1Z091YW70391513951;2016/1/22;KS;66547;17;30;6;;;18.98;;3.25;;4;1.17;23.4;;;;;;;;;
